"Tags","Testname","Result","Note"
"TS_FL_001 ","Kiểm tra giao diện block Theo dõi khi chưa đăng nhập tài khoản FPT Play","passed",""
"TS_FL_010 ","Kiểm tra nhấn chọn Theo dõi ở chi tiết VOD khi chưa đăng nhập","passed",""
"TS_FL_002 ","Kiểm tra hiển thị block Theo dõi ở màn hình Home khi đã đăng nhập và chưa theo dõi VOD","passed",""
"TS_FL_003 ","Kiểm tra giao diện block Theo dõi khi đã đăng nhập tài khoản FPT Play, có VOD theo dõi","failed","Check [Label] has text: [Lời Hồi Đáp 1988 ], actual Text: Miss case 1 dolby vision và hdr 10 plus
"">>>> Check [Label] has text: [Lời Hồi Đáp 1988 ], actual Text: Miss case 1 dolby vision và hdr 10 plus actual: Miss case 1 dolby vision và hdr 10 plus ,expect: Lời Hồi Đáp 1988
Check [Label] has text: [Chiếc Bật Lửa Và Váy Công Chúa], actual Text: Điên Tối
"">>>> Check [Label] has text: [Chiếc Bật Lửa Và Váy Công Chúa], actual Text: Điên Tối actual: Điên Tối ,expect: Chiếc Bật Lửa Và Váy Công Chúa
Check [Label] has text: [Mirai: Em Gái Đến Từ Tương Lai], actual Text: Mùa Viết Tình Ca
"">>>> Check [Label] has text: [Mirai: Em Gái Đến Từ Tương Lai], actual Text: Mùa Viết Tình Ca actual: Mùa Viết Tình Ca ,expect: Mirai: Em Gái Đến Từ Tương Lai
Check [Label] has text: [Miss case 1 dolby vision và hdr 10 plus], actual Text: 4 Năm, 2 Chàng, 1 Tình Yêu
"">>>> Check [Label] has text: [Miss case 1 dolby vision và hdr 10 plus], actual Text: 4 Năm, 2 Chàng, 1 Tình Yêu actual: 4 Năm, 2 Chàng, 1 Tình Yêu ,expect: Miss case 1 dolby vision và hdr 10 plus
Check [Label] has text: [Người Yêu Tôi Đỉnh Nhất], actual Text: Sài Gòn Trong Cơn Mưa
"">>>> Check [Label] has text: [Người Yêu Tôi Đỉnh Nhất], actual Text: Sài Gòn Trong Cơn Mưa actual: Sài Gòn Trong Cơn Mưa ,expect: Người Yêu Tôi Đỉnh Nhất
Check [Label] has text: [Điên Tối], actual Text: Bleach: Huyết Chiến Ngàn Năm
"">>>> Check [Label] has text: [Điên Tối], actual Text: Bleach: Huyết Chiến Ngàn Năm actual: Bleach: Huyết Chiến Ngàn Năm ,expect: Điên Tối
Check [Label] has text: [Hội Thú Bông Ngộ Nghĩnh], actual Text: Mirai: Em Gái Đến Từ Tương Lai
"">>>> Check [Label] has text: [Hội Thú Bông Ngộ Nghĩnh], actual Text: Mirai: Em Gái Đến Từ Tương Lai actual: Mirai: Em Gái Đến Từ Tương Lai ,expect: Hội Thú Bông Ngộ Nghĩnh
Check [Label] has text: [Ma Nữ Chung Cư], actual Text: Người Yêu Tôi Đỉnh Nhất
"">>>> Check [Label] has text: [Ma Nữ Chung Cư], actual Text: Người Yêu Tôi Đỉnh Nhất actual: Người Yêu Tôi Đỉnh Nhất ,expect: Ma Nữ Chung Cư
Check [Label] has text: [Mùa Viết Tình Ca], actual Text: Hội Thú Bông Ngộ Nghĩnh
"">>>> Check [Label] has text: [Mùa Viết Tình Ca], actual Text: Hội Thú Bông Ngộ Nghĩnh actual: Hội Thú Bông Ngộ Nghĩnh ,expect: Mùa Viết Tình Ca
Check [Label] has text: [4 Năm, 2 Chàng, 1 Tình Yêu], actual Text: Dòng Máu Trăng Hoa
"">>>> Check [Label] has text: [4 Năm, 2 Chàng, 1 Tình Yêu], actual Text: Dòng Máu Trăng Hoa actual: Dòng Máu Trăng Hoa ,expect: 4 Năm, 2 Chàng, 1 Tình Yêu
Check [Label] has text: [Sài Gòn Trong Cơn Mưa], actual Text: Thanh Lạc
"">>>> Check [Label] has text: [Sài Gòn Trong Cơn Mưa], actual Text: Thanh Lạc actual: Thanh Lạc ,expect: Sài Gòn Trong Cơn Mưa
Check [Label] has text: [Chó Săn Tiền], actual Text: Hoa Gian Lệnh
"">>>> Check [Label] has text: [Chó Săn Tiền], actual Text: Hoa Gian Lệnh actual: Hoa Gian Lệnh ,expect: Chó Săn Tiền
Check [Label] has text: [Con Lắc Tà Thuật], actual Text: Trường Phong Độ
"">>>> Check [Label] has text: [Con Lắc Tà Thuật], actual Text: Trường Phong Độ actual: Trường Phong Độ ,expect: Con Lắc Tà Thuật
Check [Label] has text: [Giám Sát], actual Text: Nhan Tâm Ký
"">>>> Check [Label] has text: [Giám Sát], actual Text: Nhan Tâm Ký actual: Nhan Tâm Ký ,expect: Giám Sát
Check [Label] has text: [Tủ Quần Áo Bí Ẩn], actual Text: Trường Nguyệt Tẫn Minh
"">>>> Check [Label] has text: [Tủ Quần Áo Bí Ẩn], actual Text: Trường Nguyệt Tẫn Minh actual: Trường Nguyệt Tẫn Minh ,expect: Tủ Quần Áo Bí Ẩn
Check [Label] has text: [Căn Phòng Đẫm Máu], actual Text: Nông Trại Đáng Yêu (Phần 2)
"">>>> Check [Label] has text: [Căn Phòng Đẫm Máu], actual Text: Nông Trại Đáng Yêu (Phần 2) actual: Nông Trại Đáng Yêu (Phần 2) ,expect: Căn Phòng Đẫm Máu
Check [Label] has text: [Exhuma: Quật Mộ Trùng Ma], actual Text: Trời Sáng Rồi Ta Ngủ Đi Thôi
"">>>> Check [Label] has text: [Exhuma: Quật Mộ Trùng Ma], actual Text: Trời Sáng Rồi Ta Ngủ Đi Thôi actual: Trời Sáng Rồi Ta Ngủ Đi Thôi ,expect: Exhuma: Quật Mộ Trùng Ma
Check [Label] has text: [Ổ Khóa Tử Thần], actual Text: Siêu Quậy Có Bầu
"">>>> Check [Label] has text: [Ổ Khóa Tử Thần], actual Text: Siêu Quậy Có Bầu actual: Siêu Quậy Có Bầu ,expect: Ổ Khóa Tử Thần
Check [Label] has text: [Mộng Du], actual Text: Ước Hẹn Mùa Thu
"">>>> Check [Label] has text: [Mộng Du], actual Text: Ước Hẹn Mùa Thu actual: Ước Hẹn Mùa Thu ,expect: Mộng Du
Check [Label] has text: [Cú Click Định Mệnh], actual Text: Mắt Biếc
"">>>> Check [Label] has text: [Cú Click Định Mệnh], actual Text: Mắt Biếc actual: Mắt Biếc ,expect: Cú Click Định Mệnh
Check [Label] has text: [Một Năm Không Có Công Việc], actual Text: Cô Dâu Đại Chiến
"">>>> Check [Label] has text: [Một Năm Không Có Công Việc], actual Text: Cô Dâu Đại Chiến actual: Cô Dâu Đại Chiến ,expect: Một Năm Không Có Công Việc
Check [Label] has text: [Kỳ Kim Triêu], actual Text: Thạch Thảo
"">>>> Check [Label] has text: [Kỳ Kim Triêu], actual Text: Thạch Thảo actual: Thạch Thảo ,expect: Kỳ Kim Triêu
Check [Label] has text: [Vân Chi Vũ], actual Text: 100 Ngày Bên Em
"">>>> Check [Label] has text: [Vân Chi Vũ], actual Text: 100 Ngày Bên Em actual: 100 Ngày Bên Em ,expect: Vân Chi Vũ
Check [Label] has text: [Độ Hoa Niên], actual Text: Em Chưa 18
"">>>> Check [Label] has text: [Độ Hoa Niên], actual Text: Em Chưa 18 actual: Em Chưa 18 ,expect: Độ Hoa Niên
Check [Label] has text: [Muôn Vàn Cách Yêu ], actual Text: Sắc Đẹp Ngàn Cân
"">>>> Check [Label] has text: [Muôn Vàn Cách Yêu ], actual Text: Sắc Đẹp Ngàn Cân actual: Sắc Đẹp Ngàn Cân ,expect: Muôn Vàn Cách Yêu
Check [Label] has text: [Nhan Tâm Ký], actual Text: Cú Click Định Mệnh
"">>>> Check [Label] has text: [Nhan Tâm Ký], actual Text: Cú Click Định Mệnh actual: Cú Click Định Mệnh ,expect: Nhan Tâm Ký
Check [Label] has text: [Trường Nguyệt Tẫn Minh], actual Text: Cõng Anh Mà Chạy
"">>>> Check [Label] has text: [Trường Nguyệt Tẫn Minh], actual Text: Cõng Anh Mà Chạy actual: Cõng Anh Mà Chạy ,expect: Trường Nguyệt Tẫn Minh
Check [Label] has text: [Mùa Gặt Cuối Cùng], actual Text: Tình Yêu Chân Thật
"">>>> Check [Label] has text: [Mùa Gặt Cuối Cùng], actual Text: Tình Yêu Chân Thật actual: Tình Yêu Chân Thật ,expect: Mùa Gặt Cuối Cùng
Check [Label] has text: [Mùa Hè Chiều Thẳng Đứng], actual Text: Ván Cờ Danh Vọng
"">>>> Check [Label] has text: [Mùa Hè Chiều Thẳng Đứng], actual Text: Ván Cờ Danh Vọng actual: Ván Cờ Danh Vọng ,expect: Mùa Hè Chiều Thẳng Đứng"
"TS_FL_009 ","Kiểm tra khi người dùng thao tác nhấn vào button Nhắc tôi khi đã đăng nhập tài khoản FPT Play","skipped","Block Sắp công chiếu should contain Item having Button Remind Me
"">>>> Block Sắp công chiếu should contain Item having Button Remind Me actual: false ,expect: true
Data Issue: Not found Item having Button Remind Me
Check [Button [Coming Notification]] is displayed
"">>>> Check [Button [Coming Notification]] is displayed actual: false ,expect: true
Check [Button [Coming Notification]] has text: [Nhắc tôi], actual Text: Đã đặt lời nhắc
"">>>> Check [Button [Coming Notification]] has text: [Nhắc tôi], actual Text: Đã đặt lời nhắc actual: Đã đặt lời nhắc ,expect: Nhắc tôi
Check [Button [Coming Notification]] is displayed
"">>>> Check [Button [Coming Notification]] is displayed actual: false ,expect: true"
"TS_FL_015 ","Kiểm tra add thêm item vào block Đang xem đã đăng nhập tài khoản FPT Play/ Kiểm tra remove 1 item ra khỏi block Theo dõi","failed","INFO BLOCK CATEGORY: Phim lẻ, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Chuyện Tình Bắc Kinh of Block: Phim lẻ"
