"Tags","Testname","Result","Note"
"TS_TS_055 ","Player - Seek - Kiểm tra play chương trình timeshift khi seek từ live về timeshift","passed",""
"TS_TS_056 ","Player - Seek - Kiểm tra play chương trình live khi seek từ timeshift về live","passed",""
"TS_TS_070 ","Player - Kiểm tra nhấn icon Back khi đang play chương trình timeshift","failed","INFO: Selected Item Info Selected Item: VTV1 HD of Block: Kênh cơ bản
INFO CHannel: VTV1 HD
Element Button Back in Player Page not null
"">>>> Element Button Back in Player Page not null actual: false ,expect: true"
"TS_TS_071 ","Player - Kiểm tra nhấn icon Back khi đang play chương trình live","failed","INFO: Selected Item Info Selected Item: VTV1 HD of Block: Kênh cơ bản
INFO CHannel: VTV1 HD
Element Button Back in Player Page not null
"">>>> Element Button Back in Player Page not null actual: false ,expect: true"
"TS_TS_073 ","Player - Kiểm tra nhấn button Trở về đang phát khi đang play chương trình timeshift","failed","INFO: Selected Item Info Selected Item: VTV1 HD of Block: Kênh cơ bản
INFO CHannel: VTV1 HD
Element Button [Return Live] in Player Page not null
"">>>> Element Button [Return Live] in Player Page not null actual: false ,expect: true"
"TS_TS_049 ","Timeshift seek - Player - Kiểm tra mở player với kênh không có timeshift seek","failed","INFO: Selected Item Info Selected Item: Bắc Giang HD of Block: Kênh địa phương
Check [Text Player Title in Player Page] has text: [BẮC GIANG HD], actual Text: 117. BẮC GIANG HD
"">>>> Check [Text Player Title in Player Page] has text: [BẮC GIANG HD], actual Text: 117. BẮC GIANG HD actual: 117. BẮC GIANG HD ,expect: BẮC GIANG HD
Check [Text Player Title in Player Page] has text: [BẮC GIANG HD], actual Text: 117. BẮC GIANG HD
"">>>> Check [Text Player Title in Player Page] has text: [BẮC GIANG HD], actual Text: 117. BẮC GIANG HD actual: 117. BẮC GIANG HD ,expect: BẮC GIANG HD
Check [Button Back in Player Page] present
"">>>> Check [Button Back in Player Page] present actual: false ,expect: true"
"TS_TS_050 ","Timeshift seek - Player - Kiểm tra mở player với kênh có timeshift trường hợp đang ở chương trình live","failed","INFO: Selected Item Info Selected Item: VTV1 HD of Block: Kênh cơ bản
Element Text Player Title in Player Page not null
"">>>> Element Text Player Title in Player Page not null actual: false ,expect: true
Element Text Player Title in Player Pagenot null check
"">>>> Element Text Player Title in Player Pagenot null check actual: false ,expect: true
Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text: 
"">>>> Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text:  actual:  ,expect: VTV1 HD
INFO CUR PLAYTIME: 00:00
Actual timeline should contains 00:00:10
"">>>> Actual timeline should contains 00:00:10 actual: false ,expect: true
Check [Player Current Duration in Player Page] present
"">>>> Check [Player Current Duration in Player Page] present actual: false ,expect: true
Check [Player Total Duration in Player Page] present
"">>>> Check [Player Total Duration in Player Page] present actual: false ,expect: true
Element Text Player Title in Player Page not null
"">>>> Element Text Player Title in Player Page not null actual: false ,expect: true
Element Text Player Title in Player Pagenot null check
"">>>> Element Text Player Title in Player Pagenot null check actual: false ,expect: true
Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text: 
"">>>> Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text:  actual:  ,expect: VTV1 HD
Element Player Des in Player Page not null
"">>>> Element Player Des in Player Page not null actual: false ,expect: true
Element Player Des in Player Pagenot null check
"">>>> Element Player Des in Player Pagenot null check actual: false ,expect: true
Check [Player Des in Player Page] contains text: [Việt Nam hôm nay] actual Text 
"">>>> Check [Player Des in Player Page] contains text: [Việt Nam hôm nay] actual Text  actual: false ,expect: true
Check [Button Back in Player Page] present
"">>>> Check [Button Back in Player Page] present actual: false ,expect: true
Check [Text [Tat che do xem lai] in Player Page] present
"">>>> Check [Text [Tat che do xem lai] in Player Page] present actual: false ,expect: true
Element Duration To Action in Player Page not null
"">>>> Element Duration To Action in Player Page not null actual: false ,expect: true
Element Duration To Action in Player Pagenot null check
"">>>> Element Duration To Action in Player Pagenot null check actual: false ,expect: true
INFO CUR PLAYTIME: 00:00
Actual timeline should contains 00:00:00
"">>>> Actual timeline should contains 00:00:00 actual: false ,expect: true
Expect Timeline having gap 10s
"">>>> Expect Timeline having gap 10s actual: false ,expect: true
Check [Player Current Duration in Player Page] present
"">>>> Check [Player Current Duration in Player Page] present actual: false ,expect: true
Check [Player Total Duration in Player Page] present
"">>>> Check [Player Total Duration in Player Page] present actual: false ,expect: true
Element Text Player Title in Player Page not null
"">>>> Element Text Player Title in Player Page not null actual: false ,expect: true
Element Text Player Title in Player Pagenot null check
"">>>> Element Text Player Title in Player Pagenot null check actual: false ,expect: true
Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text: 
"">>>> Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text:  actual:  ,expect: VTV1 HD
Element Player Des in Player Page not null
"">>>> Element Player Des in Player Page not null actual: false ,expect: true
Element Player Des in Player Pagenot null check
"">>>> Element Player Des in Player Pagenot null check actual: false ,expect: true
Check [Player Des in Player Page] contains text: [Việt Nam hôm nay] actual Text 
"">>>> Check [Player Des in Player Page] contains text: [Việt Nam hôm nay] actual Text  actual: false ,expect: true
Check [Button Back in Player Page] present
"">>>> Check [Button Back in Player Page] present actual: false ,expect: true
Check [Text [Tat che do xem lai] in Player Page] present
"">>>> Check [Text [Tat che do xem lai] in Player Page] present actual: false ,expect: true"
"TS_TS_051 ","Timeshift seek - Player - Kiểm tra mở player với kênh có timeshift, trường hợp đang ở chương trình timeshift","failed","INFO: Selected Item Info Selected Item: VTV1 HD of Block: Kênh cơ bản
INFO CHannel: VTV1 HD
Element Text Player Title in Player Page not null
"">>>> Element Text Player Title in Player Page not null actual: false ,expect: true
Element Text Player Title in Player Pagenot null check
"">>>> Element Text Player Title in Player Pagenot null check actual: false ,expect: true
Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text: 
"">>>> Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text:  actual:  ,expect: VTV1 HD
Element Player Des in Player Page not null
"">>>> Element Player Des in Player Page not null actual: false ,expect: true
Element Player Des in Player Pagenot null check
"">>>> Element Player Des in Player Pagenot null check actual: false ,expect: true
Check [Player Des in Player Page] contains text: [Phụ nữ và cuộc sống: Sinh đẻ an toàn cho phụ nữ vùng cao] actual Text 
"">>>> Check [Player Des in Player Page] contains text: [Phụ nữ và cuộc sống: Sinh đẻ an toàn cho phụ nữ vùng cao] actual Text  actual: false ,expect: true
Check [Button Back in Player Page] present
"">>>> Check [Button Back in Player Page] present actual: false ,expect: true
Check [Button [Return Live] in Player Page] present
"">>>> Check [Button [Return Live] in Player Page] present actual: false ,expect: true
Element Text Player Title in Player Page not null
"">>>> Element Text Player Title in Player Page not null actual: false ,expect: true
Element Text Player Title in Player Pagenot null check
"">>>> Element Text Player Title in Player Pagenot null check actual: false ,expect: true
Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text: 
"">>>> Check [Text Player Title in Player Page] has text: [VTV1 HD], actual Text:  actual:  ,expect: VTV1 HD
Element Player Des in Player Page not null
"">>>> Element Player Des in Player Page not null actual: false ,expect: true
Element Player Des in Player Pagenot null check
"">>>> Element Player Des in Player Pagenot null check actual: false ,expect: true
Check [Player Des in Player Page] contains text: [Phụ nữ và cuộc sống: Sinh đẻ an toàn cho phụ nữ vùng cao] actual Text 
"">>>> Check [Player Des in Player Page] contains text: [Phụ nữ và cuộc sống: Sinh đẻ an toàn cho phụ nữ vùng cao] actual Text  actual: false ,expect: true
Check [Button Back in Player Page] present
"">>>> Check [Button Back in Player Page] present actual: false ,expect: true
Check [Button [Return Live] in Player Page] present
"">>>> Check [Button [Return Live] in Player Page] present actual: false ,expect: true"
